,0,1
300,"['2', '252']","Nov 22, 2020 at 6:12 PM"
301,"['3', '109']","Nov 22, 2020 at 4:12 PM"
302,"['1', '80']","Nov 22, 2020 at 3:42 PM"
303,"['14', '461']","Nov 22, 2020 at 12:04 PM"
304,"['0', '65']","Nov 21, 2020 at 10:30 PM"
305,"['11', '215']","Nov 21, 2020 at 6:57 PM"
306,"['2', '156']","Nov 21, 2020 at 4:31 PM"
307,"['0', '95']","Nov 20, 2020 at 5:55 PM"
308,"['1', '95']","Nov 20, 2020 at 4:53 PM"
309,"['12', '233']","Nov 20, 2020 at 7:40 AM"
310,"['1', '63']","Nov 19, 2020 at 9:34 PM"
311,"['0', '102']","Nov 19, 2020 at 8:20 AM"
312,"['2', '94']","Nov 19, 2020 at 2:47 AM"
313,"['2', '99']","Nov 18, 2020 at 8:49 PM"
314,"['16', '1000']","Nov 18, 2020 at 5:30 PM"
315,"['6', '153']","Nov 18, 2020 at 8:26 AM"
316,"['6', '4000']","Nov 17, 2020 at 7:05 PM"
317,"['1', '81']","Nov 17, 2020 at 5:29 AM"
318,"['7', '184']","Nov 16, 2020 at 4:51 PM"
319,"['3', '130']","Nov 15, 2020 at 11:59 PM"
320,"['15', '229']","Nov 15, 2020 at 8:40 PM"
321,"['3', '99']","Nov 15, 2020 at 8:38 PM"
322,"['0', '89']","Nov 15, 2020 at 7:10 PM"
323,"['3', '61']","Nov 15, 2020 at 4:03 PM"
324,"['3', '130']","Nov 15, 2020 at 3:20 PM"
325,"['1', '77']","Nov 15, 2020 at 6:48 AM"
326,"['11', '260']","Nov 14, 2020 at 9:29 PM"
327,"['28', '2000']","Nov 14, 2020 at 12:04 PM"
328,"['2', '175']","Nov 13, 2020 at 8:14 PM"
329,"['2', '109']","Nov 13, 2020 at 2:54 PM"
330,"['8', '358']","Nov 13, 2020 at 11:08 AM"
331,"['0', '75']","Nov 12, 2020 at 8:18 AM"
332,"['3', '90']","Nov 12, 2020 at 7:21 AM"
333,"['3', '173']","Nov 12, 2020 at 4:36 AM"
334,"['1', '178']","Nov 12, 2020 at 3:02 AM"
335,"['2', '77']","Nov 11, 2020 at 7:10 PM"
336,"['4', '91']","Nov 11, 2020 at 6:30 PM"
337,"['3', '3000']","Nov 11, 2020 at 4:58 PM"
338,"['6', '185']","Nov 11, 2020 at 2:26 PM"
339,"['5', '99']","Nov 11, 2020 at 10:29 AM"
340,"['0', '68']","Nov 11, 2020 at 4:54 AM"
341,"['1', '74']","Nov 10, 2020 at 8:14 PM"
342,"['12', '267']","Nov 10, 2020 at 5:47 PM"
343,"['9', '321']","Nov 10, 2020 at 3:02 PM"
344,"['2', '127']","Nov 10, 2020 at 5:57 AM"
345,"['1', '119']","Nov 9, 2020 at 8:50 PM"
346,"['3', '71']","Nov 9, 2020 at 7:43 PM"
347,"['1', '185']","Nov 8, 2020 at 2:56 PM"
348,"['6', '148']","Nov 8, 2020 at 2:10 PM"
349,"['0', '48']","Nov 8, 2020 at 4:24 AM"
350,"['4', '99']","Nov 7, 2020 at 7:46 AM"
351,"['0', '88']","Nov 6, 2020 at 2:38 PM"
352,"['1', '149']","Nov 6, 2020 at 2:03 PM"
353,"['5', '140']","Nov 6, 2020 at 8:30 AM"
354,"['1', '76']","Nov 5, 2020 at 7:13 AM"
355,"['7', '195']","Nov 4, 2020 at 8:12 PM"
356,"['3', '580']","Nov 4, 2020 at 5:06 PM"
357,"['1', '53']","Nov 4, 2020 at 10:33 AM"
358,"['10', '337']","Nov 4, 2020 at 8:45 AM"
359,"['1', '126']","Nov 4, 2020 at 2:56 AM"
360,"['1', '100']","Nov 3, 2020 at 6:53 PM"
361,"['4', '127']","Nov 3, 2020 at 6:03 PM"
362,"['50', '11000']","Nov 3, 2020 at 5:30 PM"
363,"['18', '338']","Nov 3, 2020 at 12:18 PM"
364,"['7', '574']","Nov 3, 2020 at 1:17 AM"
365,"['9', '196']","Nov 2, 2020 at 10:49 PM"
366,"['7', '1000']","Nov 2, 2020 at 11:34 AM"
367,"['11', '314']","Nov 2, 2020 at 4:46 AM"
368,"['9', '338']","Nov 1, 2020 at 12:44 PM"
369,"['1', '95']","Nov 1, 2020 at 8:52 AM"
370,"['9', '200']","Nov 1, 2020 at 7:21 AM"
371,"['10', '469']","Nov 1, 2020 at 7:18 AM"
372,"['3', '96']","Nov 1, 2020 at 7:14 AM"
373,"['3', '133']","Oct 31, 2020 at 8:38 PM"
374,"['0', '72']","Oct 31, 2020 at 12:38 PM"
375,"['4', '188']","Oct 31, 2020 at 1:55 AM"
376,"['3', '190']","Oct 30, 2020 at 4:01 PM"
377,"['2', '63']","Oct 29, 2020 at 9:47 PM"
378,"['6', '168']","Oct 29, 2020 at 8:02 PM"
379,"['2', '621']","Oct 29, 2020 at 7:20 PM"
380,"['8', '171']","Oct 29, 2020 at 2:58 PM"
381,"['12', '291']","Oct 28, 2020 at 5:48 PM"
382,"['1', '47']","Oct 28, 2020 at 1:01 PM"
383,"['8', '252']","Oct 28, 2020 at 12:38 PM"
384,"['4', '117']","Oct 28, 2020 at 12:19 PM"
385,"['11', '272']","Oct 28, 2020 at 4:50 AM"
386,"['6', '185']","Oct 27, 2020 at 3:33 AM"
387,"['3', '89']","Oct 27, 2020 at 2:34 AM"
388,"['9', '286']","Oct 26, 2020 at 5:53 PM"
389,"['8', '203']","Oct 26, 2020 at 3:18 PM"
390,"['12', '207']","Oct 25, 2020 at 9:21 PM"
391,"['11', '219']","Oct 25, 2020 at 3:37 PM"
392,"['2', '236']","Oct 24, 2020 at 11:45 PM"
393,"['9', '171']","Oct 24, 2020 at 11:28 PM"
394,"['6', '161']","Oct 24, 2020 at 9:52 PM"
395,"['0', '56']","Oct 24, 2020 at 6:33 PM"
396,"['12', '306']","Oct 24, 2020 at 4:08 PM"
397,"['3', '156']","Oct 24, 2020 at 3:42 PM"
398,"['3', '498']","Oct 24, 2020 at 12:01 PM"
399,"['3', '101']","Oct 24, 2020 at 1:22 AM"
400,"['6', '791']","Oct 23, 2020 at 9:17 PM"
401,"['7', '207']","Oct 23, 2020 at 7:11 PM"
402,"['2', '161']","Oct 23, 2020 at 7:55 AM"
403,"['22', '17000']","Oct 22, 2020 at 10:05 PM"
404,"['5', '154']","Oct 22, 2020 at 9:41 PM"
405,"['0', '98']","Oct 22, 2020 at 8:20 PM"
406,"['2', '137']","Oct 22, 2020 at 7:16 PM"
407,"['30', '565']","Oct 22, 2020 at 12:24 PM"
408,"['2', '141']","Oct 21, 2020 at 3:55 PM"
409,"['5', '177']","Oct 21, 2020 at 9:00 AM"
410,"['1', '100']","Oct 20, 2020 at 11:13 PM"
411,"['6', '195']","Oct 20, 2020 at 9:22 AM"
412,"['12', '392']","Oct 20, 2020 at 8:49 AM"
413,"['21', '511']","Oct 20, 2020 at 2:16 AM"
414,"['3', '177']","Oct 20, 2020 at 12:09 AM"
415,"['17', '295']","Oct 19, 2020 at 9:57 AM"
416,"['12', '424']","Oct 19, 2020 at 9:18 AM"
417,"['2', '292']","Oct 18, 2020 at 6:21 PM"
418,"['1', '58']","Oct 18, 2020 at 5:08 PM"
419,"['8', '253']","Oct 18, 2020 at 12:27 PM"
420,"['10', '342']","Oct 18, 2020 at 10:56 AM"
421,"['1', '66']","Oct 18, 2020 at 3:09 AM"
422,"['3', '165']","Oct 17, 2020 at 3:33 PM"
423,"['2', '108']","Oct 17, 2020 at 10:52 AM"
424,"['1', '103']","Oct 17, 2020 at 2:39 AM"
425,"['22', '712']","Oct 17, 2020 at 1:14 AM"
426,"['2', '128']","Oct 16, 2020 at 12:14 PM"
427,"['2', '103']","Oct 14, 2020 at 11:10 PM"
428,"['12', '1000']","Oct 14, 2020 at 9:01 PM"
429,"['6', '195']","Oct 14, 2020 at 8:17 PM"
430,"['8', '182']","Oct 14, 2020 at 2:26 PM"
431,"['25', '578']","Oct 14, 2020 at 12:19 PM"
432,"['1', '136']","Oct 14, 2020 at 4:42 AM"
433,"['0', '110']","Oct 14, 2020 at 1:03 AM"
434,"['5', '4000']","Oct 12, 2020 at 10:30 PM"
435,"['2', '106']","Oct 12, 2020 at 9:15 PM"
436,"['23', '566']","Oct 12, 2020 at 5:45 PM"
437,"['9', '313']","Oct 11, 2020 at 9:33 PM"
438,"['3', '166']","Oct 11, 2020 at 7:46 PM"
439,"['0', '94']","Oct 11, 2020 at 4:13 PM"
440,"['0', '85']","Oct 11, 2020 at 10:48 AM"
441,"['6', '131']","Oct 10, 2020 at 9:55 PM"
442,"['1', '80']","Oct 10, 2020 at 9:07 PM"
443,"['15', '235']","Oct 10, 2020 at 8:37 AM"
444,"['10', '2000']","Oct 9, 2020 at 11:57 PM"
445,"['4', '185']","Oct 9, 2020 at 1:40 PM"
446,"['9', '340']","Oct 9, 2020 at 10:56 AM"
447,"['16', '447']","Oct 9, 2020 at 1:39 AM"
448,"['6', '171']","Oct 8, 2020 at 3:32 PM"
449,"['14', '250']","Oct 8, 2020 at 3:15 PM"
450,"['2', '99']","Oct 8, 2020 at 10:41 AM"
451,"['5', '147']","Oct 7, 2020 at 5:56 PM"
452,"['5', '3000']","Oct 6, 2020 at 9:46 PM"
453,"['2', '4000']","Oct 6, 2020 at 9:45 PM"
454,"['8', '225']","Oct 6, 2020 at 7:55 PM"
455,"['3', '162']","Oct 6, 2020 at 7:21 PM"
456,"['3', '131']","Oct 6, 2020 at 10:21 AM"
457,"['2', '182']","Oct 6, 2020 at 7:04 AM"
458,"['0', '103']","Oct 4, 2020 at 1:11 PM"
459,"['5', '246']","Oct 3, 2020 at 9:39 PM"
460,"['186', '34000']","Oct 3, 2020 at 8:11 AM"
461,"['3', '156']","Oct 1, 2020 at 9:25 PM"
462,"['12', '283']","Oct 1, 2020 at 7:29 AM"
463,"['9', '323']","Sep 30, 2020 at 11:25 AM"
